Bureau,Total Accounts,Open Accounts,Close Accounts,Delinquent Accounts,Derogatory Accounts,Total Balances,Total Monthly Payments,Late 30 Count,Late 60 Count,Late 90 Count,No of Revolving Acc,No of Installment,No of Mortgage,No of Open Acc,No of Unknown Acc,No of Collection Acc,No of line of credit Acc,No of Inq,No of Public Record,Age of Oldest Account,Open Student loans,Credit Limit,Credit Score
Experian,29,24,5,0,0,80562,1565,0,0,0,21,3,4,0,0,0,1,3,0,20,0,103400,755
TransUnion,4,1,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,20,0,7500,786
Equifax,31,19,12,0,0,149661,3492,1,0,0,12,15,0,2,2,0,0,40,0,20,0,46100,577
Experian,35,16,19,0,0,27142,298,0,0,0,30,3,2,0,0,0,0,0,0,20,0,60683,814
TransUnion,5,0,5,1,3,1859,25,1,1,2,5,0,0,0,0,0,0,0,0,31,0,6000,500
Equifax,25,3,22,2,22,15352,1214,5,4,8,5,7,0,2,0,11,0,28,2,31,0,0,484
Experian,16,10,6,3,0,54670,1405,10,4,1,12,1,2,0,0,0,1,2,0,31,0,39950,519
TransUnion,15,9,6,0,0,4209,193,0,0,0,9,5,0,1,0,0,0,0,0,21,0,23000,804
Equifax,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,21,0,2600,768
Experian,9,6,3,0,0,544,16,0,0,0,8,1,0,0,0,0,0,3,0,21,0,35339,775
TransUnion,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,686
Equifax,24,8,16,1,16,17804,2502,23,10,20,6,14,0,1,1,2,0,34,0,9,3,2000,507
Experian,18,12,6,0,0,2657,30,0,0,0,18,0,0,0,0,0,0,2,0,9,0,50750,783
TransUnion,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,686
Equifax,24,8,16,1,16,17804,2502,23,10,20,6,14,0,1,1,2,0,34,0,9,3,2000,507
Experian,18,12,6,0,0,2657,30,0,0,0,18,0,0,0,0,0,0,2,0,9,0,50750,783
TransUnion,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,686
Equifax,24,8,16,1,16,17804,2502,23,10,20,6,14,0,1,1,2,0,34,0,9,3,2000,507
Experian,18,12,6,0,0,2657,30,0,0,0,18,0,0,0,0,0,0,2,0,9,0,50750,783
TransUnion,22,3,19,1,13,66461,842,7,4,2,12,2,2,4,0,2,0,0,3,24,0,37900,499
Equifax,21,12,9,0,2,8483,162,6,4,6,11,7,1,1,0,0,1,20,0,24,0,9063,747
Experian,29,15,14,5,5,153444,6919,33,17,42,14,13,1,0,0,1,0,4,0,24,0,21490,494
TransUnion,49,18,31,0,15,17314,119,0,0,0,39,5,0,0,0,5,0,2,1,15,4,35775,640
Equifax,9,4,5,0,0,559,25,3,1,0,3,5,0,0,1,0,0,8,1,15,0,705,719
Experian,18,11,7,0,1,113309,1180,0,0,0,11,3,2,0,0,1,1,1,0,15,0,74300,760
TransUnion,3,3,0,0,0,335,10,0,0,0,3,0,0,0,0,0,0,0,0,8,0,2000,735
Equifax,26,15,11,0,0,124283,1410,1,0,0,14,9,3,0,0,0,0,25,0,16,0,27074,717
Experian,12,10,2,0,0,123,10,0,0,0,12,0,0,0,0,0,0,2,0,16,0,18375,806
TransUnion,7,6,1,0,0,16,10,0,0,0,6,0,1,0,0,0,0,1,0,32,0,15900,822
